"","Our_Taxonomy","sample","Cruise_Station","Cruise","Station","Day","ASV"
"1","MALV-I","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",48
"2","MALV-I","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",50
"3","MALV-I","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",68
"4","MALV-I","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",35
"5","MALV-I","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",0
"6","MALV-I","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",47
"7","MALV-I","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",11
"8","MALV-I","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",160
"9","MALV-I","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",181
"10","MALV-I","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",242
"11","MALV-I","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",173
"12","MALV-I","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",462
"13","MALV-I","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",159
"14","MALV-I","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",259
"15","MALV-I","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",348
"16","MALV-I","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",456
"17","MALV-I","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",335
"18","MALV-I","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",123
"19","MALV-I","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",61
"20","MALV-I","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",72
"21","MALV-I","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",419
"22","MALV-I","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",428
"23","MALV-I","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",251
"24","MALV-I","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",408
"25","MALV-II","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",26
"26","MALV-II","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",59
"27","MALV-II","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",152
"28","MALV-II","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",138
"29","MALV-II","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",92
"30","MALV-II","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",0
"31","MALV-II","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",79
"32","MALV-II","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",190
"33","MALV-II","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",236
"34","MALV-II","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",472
"35","MALV-II","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",253
"36","MALV-II","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",711
"37","MALV-II","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",185
"38","MALV-II","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",210
"39","MALV-II","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",745
"40","MALV-II","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",452
"41","MALV-II","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",473
"42","MALV-II","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",153
"43","MALV-II","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",134
"44","MALV-II","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",68
"45","MALV-II","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",652
"46","MALV-II","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",544
"47","MALV-II","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",393
"48","MALV-II","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",515
"49","Dinophyceae","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",1097
"50","Dinophyceae","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",364
"51","Dinophyceae","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",698
"52","Dinophyceae","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",398
"53","Dinophyceae","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",134
"54","Dinophyceae","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",163
"55","Dinophyceae","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",433
"56","Dinophyceae","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",297
"57","Dinophyceae","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",1946
"58","Dinophyceae","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",1347
"59","Dinophyceae","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",861
"60","Dinophyceae","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",855
"61","Dinophyceae","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",2191
"62","Dinophyceae","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",2460
"63","Dinophyceae","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",1346
"64","Dinophyceae","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",1573
"65","Dinophyceae","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",822
"66","Dinophyceae","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",652
"67","Dinophyceae","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",635
"68","Dinophyceae","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",827
"69","Dinophyceae","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",1073
"70","Dinophyceae","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",399
"71","Dinophyceae","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",392
"72","Dinophyceae","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",802
"73","Ciliophora","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",311
"74","Ciliophora","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",282
"75","Ciliophora","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",63
"76","Ciliophora","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",251
"77","Ciliophora","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",447
"78","Ciliophora","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",382
"79","Ciliophora","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",488
"80","Ciliophora","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",70
"81","Ciliophora","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",31
"82","Ciliophora","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",352
"83","Ciliophora","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",67
"84","Ciliophora","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",86
"85","Ciliophora","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",92
"86","Ciliophora","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",6
"87","Ciliophora","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",216
"88","Ciliophora","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",15
"89","Ciliophora","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",42
"90","Ciliophora","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",150
"91","Ciliophora","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",115
"92","Ciliophora","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",323
"93","Ciliophora","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",62
"94","Ciliophora","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",97
"95","Ciliophora","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",145
"96","Ciliophora","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",54
"97","Ostreococcus","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",425
"98","Ostreococcus","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",1114
"99","Ostreococcus","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",228
"100","Ostreococcus","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",347
"101","Ostreococcus","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",400
"102","Ostreococcus","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",1072
"103","Ostreococcus","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",626
"104","Ostreococcus","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",237
"105","Ostreococcus","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",23
"106","Ostreococcus","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",11
"107","Ostreococcus","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",0
"108","Ostreococcus","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",55
"109","Ostreococcus","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",184
"110","Ostreococcus","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",0
"111","Ostreococcus","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",62
"112","Ostreococcus","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",62
"113","Ostreococcus","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",377
"114","Ostreococcus","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",704
"115","Ostreococcus","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",810
"116","Ostreococcus","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",958
"117","Ostreococcus","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",66
"118","Ostreococcus","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",493
"119","Ostreococcus","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",671
"120","Ostreococcus","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",588
"121","Micromonas","Spring_Coast_D1","Spring_Coast","Spring","Coast","D1",267
"122","Micromonas","Spring_Coast_D3","Spring_Coast","Spring","Coast","D3",283
"123","Micromonas","Spring_Coast_D5","Spring_Coast","Spring","Coast","D5",71
"124","Micromonas","Spring_Coast_D7","Spring_Coast","Spring","Coast","D7",0
"125","Micromonas","Spring_Offshore_D1","Spring_Offshore","Spring","Offshore","D1",391
"126","Micromonas","Spring_Offshore_D3","Spring_Offshore","Spring","Offshore","D3",417
"127","Micromonas","Spring_Offshore_D5","Spring_Offshore","Spring","Offshore","D5",260
"128","Micromonas","Spring_Offshore_D7","Spring_Offshore","Spring","Offshore","D7",264
"129","Micromonas","Summer_Coast_D1","Summer_Coast","Summer","Coast","D1",0
"130","Micromonas","Summer_Coast_D3","Summer_Coast","Summer","Coast","D3",0
"131","Micromonas","Summer_Coast_D5","Summer_Coast","Summer","Coast","D5",0
"132","Micromonas","Summer_Coast_D7","Summer_Coast","Summer","Coast","D7",0
"133","Micromonas","Summer_Offshore_D1","Summer_Offshore","Summer","Offshore","D1",126
"134","Micromonas","Summer_Offshore_D3","Summer_Offshore","Summer","Offshore","D3",21
"135","Micromonas","Summer_Offshore_D5","Summer_Offshore","Summer","Offshore","D5",164
"136","Micromonas","Summer_Offshore_D7","Summer_Offshore","Summer","Offshore","D7",128
"137","Micromonas","Winter_Coast_D1","Winter_Coast","Winter","Coast","D1",116
"138","Micromonas","Winter_Coast_D3","Winter_Coast","Winter","Coast","D3",332
"139","Micromonas","Winter_Coast_D5","Winter_Coast","Winter","Coast","D5",578
"140","Micromonas","Winter_Coast_D7","Winter_Coast","Winter","Coast","D7",497
"141","Micromonas","Winter_Offshore_D1","Winter_Offshore","Winter","Offshore","D1",27
"142","Micromonas","Winter_Offshore_D3","Winter_Offshore","Winter","Offshore","D3",187
"143","Micromonas","Winter_Offshore_D5","Winter_Offshore","Winter","Offshore","D5",339
"144","Micromonas","Winter_Offshore_D7","Winter_Offshore","Winter","Offshore","D7",181
