taxon;Our_Taxonomy
Diaforarchaea group;Other_Archaea
Stenosarchaea group;Other_Archaea
Thermoplasmata;Other_Archaea
Euryarchaeota;Other_Archaea
Methanomicrobia;Other_Archaea
Candidatus Nitrosomarinus;Thaumarchaeota
Candidatus Nitrosomarinus catalina;Thaumarchaeota
Aliiglaciecola lipolytica;Alteromonadales
Alteromonas gracilis;Alteromonadales
Pseudoalteromonadaceae;Alteromonadales
Pseudoalteromonas sp. H105;Alteromonadales
Pseudoalteromonas sp. NBT06-2;Alteromonadales
Shewanellaceae;Alteromonadales
unclassified Alteromonas;Alteromonadales
Porticoccus;Cellvibrionales
unclassified Spongiibacteraceae;Cellvibrionales
Formosa;Flavobacteriales
unclassified Flavobacteriia;Flavobacteriales
Lentisphaerae;Verrucomicrobia
Thalassolituus oleivorans;Oceanospirillales
Haliscomenobacteraceae;Other_Bacteroidetes
Leclercia adecarboxylata;Other_Bacteroidetes
Cyanobacteria/Melainabacteria group;Other_Cyanobacteria
unclassified Betaproteobacteria;Other_Proteobacteria
unclassified Betaproteobacteria (miscellaneous);Other_Proteobacteria
delta/epsilon subdivisions;Other_Proteobacteria
Epsilonproteobacteria;Other_Proteobacteria
Pelagibacter phage HTVC008M;Pelagibacterales
Pelagibacterales;Pelagibacterales
unclassified SAR116 cluster;Pelagibacterales
Lentibacter algarum;Rhodobacterales
Leptospiraceae;Spirochaetes
Spirochaetes;Spirochaetes
Vibrionales;Vibrionales
Agrobacterium virus Atuph07;Viruses
Caudovirales;Viruses
Chrysochromulina ericina virus;Viruses
Mimiviridae;Viruses
Myoviridae;Viruses
Phycodnaviridae;Viruses
Podoviridae;Viruses
Prasinovirus;Viruses
Puniceispirillum phage HMO-2011;Viruses
Riboviria;Viruses
Siphoviridae;Viruses
TACK group;Viruses
unclassified Myoviridae;Viruses
unclassified Phycodnaviridae;Viruses
unclassified Podoviridae;Viruses
unclassified Prasinovirus;Viruses
unclassified Prymnesiovirus;Viruses
Viruses;Viruses
Candidatus Nitrosopelagicus brevis;Thaumarchaeota
Nitrosopumilaceae;Thaumarchaeota
Nitrosopumilales;Thaumarchaeota
Candidatus Nitrosotenuis;Thaumarchaeota
Thaumarchaeota;Thaumarchaeota
unclassified Thaumarchaeota;Thaumarchaeota
Archaea;Other_Archaea
Actinobacteria;Actinobacteria
Actinobacteria;Actinobacteria
Alteromonadaceae;Alteromonadales
Alteromonadales;Alteromonadales
Alteromonas;Alteromonadales
Colwellia;Alteromonadales
Colwelliaceae;Alteromonadales
Glaciecola;Alteromonadales
Glaciecola punicea;Alteromonadales
Glaciecola sp. HTCC2999;Alteromonadales
Marinobacter;Alteromonadales
Paraglaciecola;Alteromonadales
Pseudoalteromonas;Alteromonadales
Psychrosphaera saromensis;Alteromonadales
Shewanella;Alteromonadales
Thalassotalea;Alteromonadales
unclassified Glaciecola;Alteromonadales
unclassified Pseudoalteromonas;Alteromonadales
Burkholderiaceae;Burkholderiales
Burkholderiales;Burkholderiales
Comamonadaceae;Burkholderiales
Limnohabitans;Burkholderiales
Oxalobacteraceae;Burkholderiales
Cellvibrionaceae;Cellvibrionales
Cellvibrionales;Cellvibrionales
gamma proteobacterium HIMB55;Cellvibrionales
gamma proteobacterium HTCC2207;Cellvibrionales
Gammaproteobacteria bacterium LSUCC0057;Cellvibrionales
Gammaproteobacteria bacterium MOLA455;Cellvibrionales
Halieaceae;Cellvibrionales
marine gamma proteobacterium HTCC2080;Cellvibrionales
marine gamma proteobacterium HTCC2143;Cellvibrionales
Microbulbifer;Cellvibrionales
Oceanicoccus;Cellvibrionales
Porticoccaceae;Cellvibrionales
Porticoccus hydrocarbonoclasticus;Cellvibrionales
SAR92 clade;Cellvibrionales
Spongiibacteraceae;Cellvibrionales
unclassified Halieaceae;Cellvibrionales
unclassified Porticoccaceae;Cellvibrionales
Chloroflexi;Chloroflexi
Bacillaceae;Firmicutes
Bacillales;Firmicutes
Bacilli;Firmicutes
Clostridia;Firmicutes
Clostridiales;Firmicutes
Firmicutes;Firmicutes
Aquimarina;Flavobacteriales
Brumimicrobium;Flavobacteriales
Crocinitomicaceae;Flavobacteriales
Crocinitomix;Flavobacteriales
Flavicella sp. ALS 84;Flavobacteriales
Flavobacteria bacterium MS024-2A;Flavobacteriales
Flavobacteria bacterium MS024-3C;Flavobacteriales
Flavobacteriaceae;Flavobacteriales
Flavobacteriales;Flavobacteriales
Flavobacteriia;Flavobacteriales
Flavobacterium;Flavobacteriales
Formosa sp. Hel1_33_131;Flavobacteriales
Formosa sp. Hel3_A1_48;Flavobacteriales
Owenweeksia hongkongensis;Flavobacteriales
Polaribacter;Flavobacteriales
Tenacibaculum;Flavobacteriales
unclassified Formosa;Flavobacteriales
unclassified Polaribacter;Flavobacteriales
unclassified Winogradskyella;Flavobacteriales
Winogradskyella;Flavobacteriales
Legionellales;Legionellales
Lentisphaera araneosa;Lentisphaerae
Lentisphaeria;Lentisphaerae
Methylococcales;Other_Gammaproteobacteria
