sample;NO3;NO2;NH4;PO4;SiO2;Chlorophyll_a;Prokaryotic_abundance;Temperature;Salinity;Fluorescence;Turbidity;PAR;surfacePAR
ENV1_D1_S3;1.794020696;-1.805912948;-2.181149439;-2.02385636;2.657891483;0.099071628;16.74634257;3.759922794;5.10762929;0.595503661;0.424492171;0.947553953;4.425325019
ENV1_D1_S6;0.405774578;-2.483581358;-3.225666242;-2.64385619;1.689925311;0.110162228;16.83906843;3.804889931;4.916347656;0.405556763;-1.717382279;5.493295071;10.5341083
ENV1_D3_S3;2.136257022;-1.480357457;-1.620157273;-1.854126938;2.71742967;0.575190713;17.18625055;3.708617662;5.091767525;1.074642438;0.60046007;0.379399163;3.360083296
ENV1_D3_S6;-0.148960614;-3.13289427;-4.680382066;-3.117787378;1.192572941;0.451492474;16.97252363;3.823983677;5.164432318;0.092613393;-1.68315915;5.438226305;10.91945927
ENV1_D5_S3;2.209640514;-2.384583703;-3.485196014;-2.495735559;3.099985243;2.247316801;17.24535603;3.747634452;5.096270288;2.408711861;0.509949146;-2.72814409;1.723514876
ENV1_D5_S6;0.084064265;-2.380821784;-3.303293921;-2.915935735;1.469885976;1.278337376;17.54446381;3.817664184;5.145575566;1.214186989;-1.619270551;7.0437382;9.779144789
ENV1_D7_S3;2.728660667;-7.532824877;-2.778927217;-1.920843793;3.755859658;1.906182377;17.31847844;3.711605032;5.007939984;1.899136952;1.574343754;-0.146722886;3.581351247
ENV1_D7_S6;0.402613043;-2.165531478;-3.923577725;-2.718806225;1.178300335;1.078787141;17.82759496;3.80065145;5.110772472;0.640528385;-1.819597493;5.737389324;10.00154894
ENV2_D1_S3;3.114367025;-1.395928676;-0.556393349;-1.358453971;3.275007047;1.063502942;19.33422745;3.704252269;5.083775016;1.106013238;0.327917257;1.56506094;5.950608384
ENV2_D1_S6;-0.074000581;-3.184424571;-4.058893689;-3.058893689;1.207892852;0.879705766;18.72415743;3.74805327;5.156983057;1.137831372;-1.209561572;7.313880701;10.8917837
ENV2_D3_S3;1.752748591;-1.64385619;-0.736965594;-1.785875195;2.558267634;0.90303827;19.37261641;3.769380339;4.896853073;1.703366528;0.912419935;0.384049807;3.984680484
ENV2_D3_S6;-1.089267338;-3.184424571;-4.058893689;-3.64385619;1.438292852;0.321928095;18.86799658;3.764176276;5.156319755;0.484499082;-0.821380957;9.21378469;10.85330956
ENV2_D5_S3;2.063502942;-2.64385619;-0.862496476;-2.395928676;3.3950628;1.263034406;18.26391102;3.811974447;4.992528264;1.624334889;0.398459827;2.156655489;5.640678764
ENV2_D5_S6;-2.058893689;-5.058893689;-5.058893689;-4.058893689;1.310340121;0.565597176;19.2733517;3.788831852;5.151960263;-0.299205201;-1.002888279;9.201045686;11.01625116
ENV2_D7_S3;2.555816155;-2.836501268;-0.251538767;-2.058893689;3.450221496;0.86393845;18.05982501;3.855581142;5.050754169;0.89956236;0.341416524;2.175875851;5.950608384
ENV2_D7_S6;-3.184424571;-6.64385619;-2.321928095;-3.836501268;1.03562391;0.495695163;18.99884381;3.800537563;5.147253777;-0.021657911;-0.291415443;9.651751336;10.87352101
ENV3_D1_S3;-2.556393349;-4.64385619;-3.058893689;-1.59946207;-3.321928095;3.04701482;19.29908949;3.904416658;5.153294629;3.09034535;-0.191491383;4.370652538;6.850874416
ENV3_D1_S6;-4.321928095;-6.64385619;-4.058893689;-3.058893689;-5.64385619;0.10433666;19.79841643;3.997373709;5.154016051;-1.210896782;-0.652220973;9.116629872;10.85549144
ENV3_D3_S3;-1.217591435;-5.64385619;-4.058893689;-0.971430848;-2.64385619;3.171847314;19.93752612;3.860615238;5.153533792;3.259844931;0.038997979;4.302684614;7.921245889
ENV3_D3_S6;-1.943416472;-6.64385619;-3.473931188;-1.473931188;-4.321928095;-0.015957574;19.1598073;4.003161446;5.153562165;0.108491003;-0.837789964;7.690417096;10.90606381
ENV3_D5_S3;1.974529312;-2.556393349;-3.058893689;2.077242999;-1.59946207;2.528071165;20.53576802;3.771473623;5.135809822;2.460585313;-0.105938941;7.002139913;10.36369674
ENV3_D5_S6;-1.395928676;-4.321928095;-6.64385619;-1.184424571;-3.836501268;1.186500558;18.51256302;3.799864411;5.152629628;-0.408703566;-1.012751907;8.463810432;10.2406721
ENV3_D7_S6;2.521050737;-2.395928676;-1.514573173;2.650764559;-1.029146346;1.299427548;19.54967;3.953721539;5.154984136;0.64579387;-0.680382066;9.426809856;10.8023548
ENV3_D7_S3;-3.836501268;-3.473931188;-2.64385619;-1.64385619;-4.058893689;1.005446699;19.57324776;3.725828392;5.15569662;1.286881148;-0.706747244;3.270035501;5.583759754
