sample;Bacterial_abundance;Bacterial_biomass;Chlorophyll_a;NH4;NO2;NO3;PO4;SiO2;NP;PAR;Salinity;Temperature;Turbidity;cobG;dmdA1;fbpA;ftnA;glnA;glnB;icd;pit;pstB;pstS;sdhA;zwf;amt1;amt2
ENV1_S3_D1;0.760964409;0.58385875;0.387473481;1.129610656;1.359800309;0.725557067;1.020437805;0.721860497;0.735728059;1.80090671;1.021853073;1.019460289;0.739418481;0.465143458;0.983618785;0.87144305;0.567757795;1.182143463;1.430285299;1.088266612;0.918158051;0.718664404;0.978637888;0.837850866;1.011962352;1.362800935;1.398425276
ENV1_S3_D3;1.032261768;1.064922233;0.538974367;1.666495902;1.704029478;0.919803327;1.147836913;0.752274008;0.836022929;1.21467357;1.010679806;0.983843294;0.835337383;1.314993256;0.656724307;0.820248714;0.620824863;1.079941569;0.955611178;1.06200004;1.074281219;1.076189992;0.948884877;1.063605924;0.870400455;0.978691938;0.84096052
ENV1_S3_D5;1.075430539;1.123617483;1.717624475;0.457479508;0.910495661;0.967799979;0.735760971;0.980701318;1.259706637;0.140927533;1.013839143;1.01081378;0.784540584;1.661096189;1.569923841;1.264326194;1.061913511;0.995806336;0.769165469;1.146506409;1.065274506;1.309244952;1.244414735;1.041758205;1.675578438;1.015463542;1.013140975
ENV1_S3_D7;1.131343284;1.227601534;1.355927677;0.746413934;0.025674551;1.386839628;1.095964312;1.545164177;1.168542374;0.843492187;0.953627978;0.985882636;1.640703552;0.558767097;0.789733068;1.043982042;1.74950383;0.742108631;0.844938053;0.70322694;0.942286224;0.895900652;0.8280625;1.056785004;0.442058755;0.643043584;0.747473229
ENV1_S6_D1;0.700320989;0.627743061;0.61812612;1.36569786;1.010597711;1.14985028;1.143674053;1.223848043;1.005556576;0.658331263;0.888078828;0.995202398;0.993547333;0.456339693;1.232868716;0.758405837;0.742527129;1.106783895;1.200838895;0.968466415;1.103756642;0.956387495;0.835769072;1.031935337;0.876934089;1.173774994;0.737751074
ENV1_S6_D3;0.768194444;0.846268568;0.783118959;0.498243373;0.644340822;0.782797379;0.823445318;0.866980873;0.914796675;0.633675811;1.054708489;1.008461225;1.017397697;1.253897577;1.001777725;0.643849548;1.790917723;0.96738219;0.77849096;0.836334859;0.631785677;0.806811513;0.486361298;0.689293244;2.003937014;0.721669652;0.939493015
ENV1_S6_D5;1.141937439;1.195182122;1.389097903;1.294155222;1.085205596;0.920019095;0.947105075;1.050724981;1.02033778;1.928298964;1.041012618;1.004053484;1.063464837;2.055931911;0.754960306;1.242541056;0.795727826;1.079990155;0.82395651;1.134626959;0.781866016;1.274789565;1.158186737;1.203136865;0.694481701;1.230464695;1.090523084
ENV1_S6_D7;1.389547128;1.330806248;1.209657018;0.841903545;1.259855871;1.147333247;1.085775554;0.858446103;1.059308968;0.779693963;1.016200065;0.992282893;0.925590133;0.233830819;1.010393253;1.35520356;0.670827322;0.84584376;1.196713636;1.060571767;1.482591665;0.962011427;1.519682893;1.075634553;0.424647195;0.874090659;1.232232828
ENV2_S3_D1;1.371470604;1.354121692;1.02200489;1.018726592;1.52;1.568130376;1.405405405;1.045921124;1.060146438;0.893839729;1.054140437;0.944667204;0.877378768;1.3657528;0.723842888;0.533950969;1.663306718;0.792597445;0.916175248;0.949072975;2.16296366;0.899443187;0.818874833;755.9743872;0.666794783;0.742413418;0.650472573
ENV2_S3_D3;1.408454211;1.332533781;0.914425428;0.898876404;1.28;0.610230874;1.045045045;0.63641275;0.629250392;0.394221111;0.926039179;0.988289863;1.315648755;1.063247144;1.118281988;1.505355897;0.713763912;1.379093892;1.26553292;0.922442739;0.607535931;1.136221802;1.49395468;863.982347;1.021033295;1.614850167;0.712332605
ENV2_S3_D5;0.653114241;0.687455025;1.173594132;0.823970037;0.64;0.756903576;0.684684685;1.136682874;1.094761356;1.346937234;0.989533414;1.017903119;0.921345566;0.582929961;1.246457606;1.045982483;0.561758217;0.874720801;0.944382353;1.00965406;0.49784929;1.116513822;1.012366744;797.5548567;1.236985127;1.025590181;1.174818636
ENV2_S3_D7;0.566960944;0.625889502;0.88997555;1.258426966;0.56;1.064735174;0.864864865;1.180983252;1.215841813;1.365001926;1.030286971;1.049139813;0.885626911;0.988070095;0.911417518;0.914710651;1.061171153;0.953587862;0.873909478;1.118830226;0.731651119;0.847821188;0.674803744;622.8399989;1.075186795;0.617146234;1.462376186
ENV2_S6_D1;0.837198287;0.781232368;1.230769231;0.685714286;1.692307692;2.146892655;1.454545455;0.967539267;1.387610619;0.296592477;1.002671186;0.981124084;0.74732112;0.642813285;0.813044792;0.866281097;0.620579415;0.823525253;0.584552811;0.960304916;0.804042527;0.822806323;0.565373505;0.878302346;0.74749836;0.409992312;0.439241331
ENV2_S6_D3;0.924971242;0.875664439;0.836120401;0.685714286;1.692307692;1.062146893;0.96969697;1.135078534;1.189380531;1.1068486;1.002210297;0.992150248;0.978050467;0.929142825;0.912136821;1.163003687;0.91987656;0.75211336;0.626436704;1.015341021;1.127464368;0.921295661;1.243866296;0.956094787;0.549223634;0.395818348;0.383180723
ENV2_S6_D5;1.225045674;1.22345954;0.989966555;0.342857143;0.461538462;0.542372881;0.727272727;1.038743455;0.743362832;1.097118145;0.99918642;1.009251754;0.862426547;0.781025187;0.92561002;1.083996276;1.210071598;0.703264632;0.725233117;0.978328514;0.931066946;0.937554973;1.155273606;0.837888445;0.766979013;0.516396466;0.994175967
ENV2_S6_D7;1.012784797;1.119643653;0.943143813;2.285714286;0.153846154;0.248587571;0.848484848;0.858638743;0.679646018;1.499440778;0.995932098;1.017473913;1.412201867;1.647018703;1.349208367;0.88671894;1.249472426;1.721096755;2.063777368;1.046025548;1.137426158;1.318343043;1.035486593;1.327714423;1.936298993;2.677792874;2.183401979
ENV3_S3_D1;0.65332966;0.530503979;1.319625356;1.043478261;0.5;0.066212269;0.37037037;0.752136752;0.536395401;0.464201747;1.00256011;1.062238751;1.016777939;1.071276879;0.61949729;0.512114443;1.297284818;1.446304979;2.125605441;1.308295882;0.983677661;0.982226747;1.373351142;0.94685321;1.226703675;1.765485129;0.995149342
ENV3_S3_D3;1.016999999;0.806366048;1.43889458;0.52173913;0.25;0.167478092;0.592592593;0.688644689;0.518109194;0.442839536;1.002726323;1.030472958;1.192917271;1.158419751;0.659609599;0.506092906;1.212856859;0.794144623;1.142745146;1.292208294;0.763124187;0.942663291;1.546907173;0.994465159;1.285428478;1.275624064;1.110821428
ENV3_S3_D5;1.539606402;1.25198939;0.920943624;1.043478261;2.125;1.53067186;1.222222222;1.885225885;2.078593748;2.876493546;0.990482871;0.968728996;1.078896952;0.928300424;1.021504411;0.799780047;0.629467261;0.872365024;0.347027972;0.745368055;1.12288092;0.741825867;0.780683317;0.945457184;1.214021066;0.658475876;0.941406356
ENV3_S3_D7;0.790063939;1.411140584;0.32053644;1.391304348;1.125;2.23563778;1.814814815;0.673992674;0.866901658;0.216465171;1.004230696;0.938559296;0.711407837;0.842002946;1.699388701;2.182012603;0.860391062;0.887185375;0.384621441;0.654127769;1.130317232;1.333284094;0.299058368;1.113224448;0.273846782;0.300414931;0.952622874
