sample,cruise_station,cruise,station_day,day,station,season_station,Station,Season
ENV1_D1_S3,ENV1_S3,ENV1,S3_D1,D1,S3,1.Winter/Coast,Coast,Winter
ENV1_D1_S6,ENV1_S6,ENV1,S6_D1,D1,S6,1.Winter/Offshore,Offshore,Winter
ENV1_D3_S3,ENV1_S3,ENV1,S3_D3,D3,S3,1.Winter/Coast,Coast,Winter
ENV1_D3_S6,ENV1_S6,ENV1,S6_D3,D3,S6,1.Winter/Offshore,Offshore,Winter
ENV1_D5_S3,ENV1_S3,ENV1,S3_D5,D5,S3,1.Winter/Coast,Coast,Winter
ENV1_D5_S6,ENV1_S6,ENV1,S6_D5,D5,S6,1.Winter/Offshore,Offshore,Winter
ENV1_D7_S3,ENV1_S3,ENV1,S3_D7,D7,S3,1.Winter/Coast,Coast,Winter
ENV1_D7_S6,ENV1_S6,ENV1,S6_D7,D7,S6,1.Winter/Offshore,Offshore,Winter
ENV2_D1_S3,ENV2_S3,ENV2,S3_D1,D1,S3,2.Spring/Coast,Coast,Spring
ENV2_D1_S6,ENV2_S6,ENV2,S6_D1,D1,S6,2.Spring/Offshore,Offshore,Spring
ENV2_D3_S3,ENV2_S3,ENV2,S3_D3,D3,S3,2.Spring/Coast,Coast,Spring
ENV2_D3_S6,ENV2_S6,ENV2,S6_D3,D3,S6,2.Spring/Offshore,Offshore,Spring
ENV2_D5_S3,ENV2_S3,ENV2,S3_D5,D5,S3,2.Spring/Coast,Coast,Spring
ENV2_D5_S6,ENV2_S6,ENV2,S6_D5,D5,S6,2.Spring/Offshore,Offshore,Spring
ENV2_D7_S3,ENV2_S3,ENV2,S3_D7,D7,S3,2.Spring/Coast,Coast,Spring
ENV2_D7_S6,ENV2_S6,ENV2,S6_D7,D7,S6,2.Spring/Offshore,Offshore,Spring
ENV3_D1_S3,ENV3_S3,ENV3,S3_D1,D1,S3,3.Summer/Coast,Coast,Summer
ENV3_D1_S6,ENV3_S6,ENV3,S6_D1,D1,S6,3.Summer/Offshore,Offshore,Summer
ENV3_D3_S3,ENV3_S3,ENV3,S3_D3,D3,S3,3.Summer/Coast,Coast,Summer
ENV3_D3_S6,ENV3_S6,ENV3,S6_D3,D3,S6,3.Summer/Offshore,Offshore,Summer
ENV3_D5_S3,ENV3_S3,ENV3,S3_D5,D5,S3,3.Summer/Coast,Coast,Summer
ENV3_D5_S6,ENV3_S6,ENV3,S6_D5,D5,S6,3.Summer/Offshore,Offshore,Summer
ENV3_D7_S3,ENV3_S3,ENV3,S3_D7,D7,S3,3.Summer/Coast,Coast,Summer
ENV3_D7_S6,ENV3_S6,ENV3,S6_D7,D7,S6,3.Summer/Offshore,Offshore,Summer
