sample;Depth;NO3;NO2;NH4;TIN;PO4;SiO2;DOC;TN;DON;Chla_0.2;Chla_3;Chlorophyll_a;Bacterial_abundance;Bacterial_biomass; Synechococcales;Prochlorococcus;Pico_small;Pico_big;PP_0.2;PP_0.2_SD;PP_3;PP_3_SD;PP_total;PP_total_ee;BP;BP_ee
ENV1_D1_S3;5;3.4678;0.286;0.2205;3.9743;0.2459;6.3111;69.3545;9.7392;5.7649;0.2872296;0.7838544;1.071084;109938.9111;1.117911756;275;0;39;25;0.99;0.108;0.335;0.035;1.325;0.143;0.386;0.039
ENV1_D1_S3;10;3.0882;0.2582;0.073;3.4194;0.2394;5.2427;67.3531;9.0365;5.6171;0.134316;0.3526656;0.4869816;96503.40752;1.059527945;1913;0;378;29;0.756;0.021;0.315;0.014;1.087;0.046;0.102;0.005
ENV1_D1_S3;25;3.5786;0.1418;0.0405;3.761;0.31;5.2497;57.5381;8.7348;4.9738;0.1418928;0.2658768;0.4077696;78937.73055;0.848348657;6469;785;1712;206;0.091;0.004;0.078;0.012;0.169;0.016;0.301;0.03
ENV1_D1_S3;50;7.5015;0.086;0.0483;7.6358;0.5598;6.4529;63.0588;11.1543;3.5185;0.03444;0.0854112;0.1198512;56711.09493;0.691546006;12046;956;4081;682;0.003;0;0.002;0.002;0.005;0.002;0.034;0.004
ENV1_D1_S3;75;10.733;0.081;0.0709;10.8849;0.7381;7.8229;64.8737;10.9142;0.0293;0.010332;0.0640584;0.0743904;29690.80431;0.39735511;12021;1055;4360;647;;;;;;;0.173;0.014
ENV1_D1_S6;5;1.3248;0.1788;0.1069;1.6104;0.16;3.2264;;;;0.2114616;0.867888;1.0793496;117237;1.426191368;11094;1579;2879;437;;;;;;;;
ENV1_D1_S6;30;1.6454;0.1977;0.0544;1.8975;0.1755;3.4151;;;;0.3361344;0.9105936;1.246728;105792;1.239009248;11551;1972;3061;461;;;;;;;;
ENV1_D1_S6;50;1.7342;0.1973;0.0445;1.9761;0.1768;3.4718;;;;0.2589888;0.7824768;1.0414656;104913;1.290708039;11982;2389;3016;284;;;;;;;;
ENV1_D1_S6;110;1.9798;0.1907;0.0457;2.2162;0.199;3.7156;;;;0.1901088;0.3629976;0.5531064;91494;0.998851846;1285;235;250;34;;;;;;;;
ENV1_D1_S6;150;5.5864;0.0364;0.0418;5.6646;0.4041;4.4038;;;;0.027312417;0.043154817;0.070467235;39079;0.43246714;11752;2089;3713;505;;;;;;;;
ENV1_D3_S3;5;4.3962;0.3584;0.3253;5.0799;0.2766;6.577;68.8508;8.0995;3.0197;0.4711392;1.0187352;1.4898744;149134.0902;2.039001871;5155;0;8524;2418;3.782179565;0.098423518;0.977425259;0.097507946;4.759604825;0.180646346;1.47774989;0.083700655
ENV1_D3_S3;15;2.1361;0.2373;0.0589;2.4323;0.2155;3.2215;236.8647;8.8098;6.3775;0.1990632;0.630252;0.8293152;112692.36;1.334309732;8230;981;3374;799;0.78633313;0.061557504;0.281315999;0.101881722;1.054512601;0.145900283;0.278097365;0.018901275
ENV1_D3_S3;25;3.1933;0.2151;0.0793;3.4876;0.2741;4.1596;52.411;7.2017;3.7141;0.1398264;0.423612;0.5634384;97448.86888;1.131243587;4512;721;1550;427;0.189951659;0.019229987;0.076495987;0.039962115;0.266447646;0.059189598;0.193409279;0.005199089
ENV1_D3_S3;50;4.7108;0.0806;0.0298;4.8211;0.4548;4.0578;58.7355;12.1335;7.3123;0.0399504;0.213528;0.2534784;59812.87169;0.662375855;1879;240;334;20;0.024287793;0.002493212;0.014234759;0.01088464;0.038522551;0.010226094;0.122168287;0.022030084
ENV1_D3_S3;75;11.7948;0.091;0.1086;11.9944;0.7413;7.1755;53.9604;12.3927;0.3983;0.0179088;0.2335032;0.251412;29823.50064;0.359279369;392;0;108;20;;;;;;;0.283247317;0.054251383
ENV1_D3_S6;5;0.9019;0.114;0.039;1.0548;0.1152;2.2856;;;;0.304542681;1.062911481;1.367454162;128599.3328;1.922667093;21242;0;6739;1329;;;;;;;;
ENV1_D3_S6;25;1.599;0.1892;0.0226;1.8108;0.1542;2.8604;;;;0.485008281;1.400423481;1.885431762;143146.1682;2.017167555;15259;2776;4360;966;;;;;;;;
ENV1_D3_S6;50;1.656;0.2406;0.0605;1.9571;0.167;2.8813;;;;0.199845081;0.876246681;1.076091762;112277.684;1.492129757;12443;2011;3355;486;;;;;;;;
ENV1_D3_S6;90;1.9125;0.2248;0.0313;2.1685;0.1783;3.2932;;;;0.290766681;0.646187481;0.936954162;115396.0478;1.513282277;5209;1045;1280;142;;;;;;;;
ENV1_D3_S6;125;3.5597;0.1039;0.0351;3.6987;0.2977;3.7913;;;;0.082749081;0.146118681;0.228867762;73679.6384;0.972807728;20374;3188;6121;1035;;;;;;;;
ENV1_D3_S6;150;5.694;0.093;0.0928;5.8797;0.3974;6.1601;;;;0.018690681;0.070350681;0.089041362;34003.4351;0.435377078;5;0;10;0;;;;;;;;
ENV1_D3_S6;200;5.3228;0.0694;0.1149;5.5071;0.4499;4.9633;;;;0.025578681;0.033155481;0.058734162;55002.62965;0.707661568;3051;603;618;74;;;;;;;;
ENV1_D5_S3;5;4.6256;0.1915;0.0893;4.9064;0.1773;8.5741;63.6671;9.725;4.8186;0.906850843;3.841138843;4.747989687;155370.8178;2.151385405;16259;0;28761;3070;11.36421818;0.32158734;2.194338677;0.055596497;13.55855686;0.3762569;1.465386362;0.036410766
ENV1_D5_S3;10;2.9424;0.0939;0.0992;3.1355;0.1707;6.1274;63.4629;8.4515;5.3159;0.913738843;4.178650843;5.092389687;158489.1816;2.118329374;26534;0;15484;1780;9.764702522;0.462084202;1.504119104;0.056791725;11.188373;0.357053566;0.794474278;0.016040869
ENV1_D5_S3;15;2.9492;0.0903;0.0853;3.1249;0.2182;5.0415;54.8129;7.6527;4.5279;0.709394843;2.959474843;3.668869687;144008.6944;1.866323331;4419;0;1074;343;1.08017315;0.165614186;0.078705427;0.149641695;1.158878577;0.301168319;0.516374242;0.012667514
ENV1_D5_S3;30;4.4074;0.1064;0.086;4.5997;0.3554;5.4656;60.9362;8.2413;3.6416;0.100523306;0.252748106;0.353271412;92190.77672;1.147053406;353;0;69;10;0.069422893;0.046611728;0.119409119;0.066676515;0.188832012;0.113284086;0.179046046;0.025514743
ENV1_D5_S3;70;9.6035;0.0687;0.1022;9.7743;0.6289;6.7678;44.9555;10.4695;0.6952;0.024066506;0.046108106;0.070174612;36076.81529;0.439473367;25465;5;21998;2241;;;;;;;0.161345676;0.026725181
ENV1_D5_S6;5;1.06;0.192;0.1013;1.3533;0.1325;2.77;;;;0.5980424;1.8275504;2.4255928;191165.6534;2.715375974;23219;2438;5964;1560;;;;;;;;
ENV1_D5_S6;20;1.2975;0.1816;0.0889;1.5681;0.1511;3.2345;;;;0.5863328;1.1139536;1.7002864;178858.0686;2.475969296;29531;3561;8103;809;;;;;;;;
ENV1_D5_S6;50;1.8787;0.2769;0.0891;2.2447;0.1894;3.4953;;;;0.244688;0.282572;0.52726;127156.2602;1.640432512;12674;2099;3134;181;;;;;;;;
