all_orders,order,all_others
Actinobacteria,Alteromonadales,Actinobacteria
Alteromonadales,Other_Archaea,Burkholderiales
Archaea,Cellvibrionales,Chloroflexi
Burkholderiales,Firmicutes,Legionellales
Cellvibrionales,Flavobacteriales,Lentisphaerae
Chloroflexi,Oceanospirillales,Pseudomonadales
Firmicutes,Other_Alphaproteobacteria,Myxococcales
Flavobacteriales,Other_Bacteroidetes,Nitrospinales
Legionellales,Other_Betaproteobacteria,Sphingomonadales
Lentisphaerae,Other_Cyanobacteria,Thiotrichales
Methylococcales,Other_Gammaproteobacteria,Unclassified_Bacteria
Myxococcales,Other_Proteobacteria,Vibrionales
Nitrosomonadales,Pelagibacterales,Viruses
Nitrospinales,Prochlorococcus,Xanthomonadales
Oceanospirillales,Rhizobiales,NA
Other_Alphaproteobacteria,Rhodobacterales,Spirochaetes
Other_Bacteroidetes,Rhodospirillales,
Other_Betaproteobacteria,Synechococcales,
Other_Cyanobacteria,Verrucomicrobia,
Other_Gammaproteobacteria,Thaumarchaeota,
Other_Proteobacteria,Planctomycetes,
Pelagibacterales,,
Planctomycetes,,
Prochlorococcus,,
Pseudomonadales,,
Rhizobiales,,
Rhodobacterales,,
Rhodospirillales,,
Sphingomonadales,,
Spirochaetes,,
Synechococcales,,
Thiotrichales,,
Unclassified_Bacteria,,
Verrucomicrobia,,
Vibrionales,,
Viruses,,
Xanthomonadales,,
