gene_protein;profile;ec_number;Filter;category;subcategory;importance;specific;dificult_label
folD;PF00763;1.5.1.5;;Carbon metabolism;C1 metabolism;low;TRUE;Offshore       Coast  
mthfr;TIGR00676;1.5.1.20;;Carbon metabolism;C1 metabolism;low;TRUE;Offshore       Coast  
gcl;TIGR01504;4.1.1.47;yes;Carbon metabolism;Carbohydrate metabolism;high;TRUE;Offshore       Coast  
gap;TIGR01534;1.2.1.59;yes;Carbon metabolism;Carbohydrate metabolism;high;TRUE;Offshore       Coast  
IolA;TIGR01722;1.2.1.18;;Carbon metabolism;Carbohydrate metabolism;high;TRUE;Offshore       Coast  
zwf;TIGR00871;1.1.1.49;;Carbon metabolism;Carbohydrate metabolism;high;TRUE;Offshore       Coast  
pyk;TIGR01064;2.7.1.40;yes;Carbon metabolism;Carbohydrate metabolism;medium;TRUE;Offshore       Coast  
ppk;TIGR03705;2.7.4.1;;Carbon metabolism;Carbohydrate metabolism;low;TRUE;Offshore       Coast  
fpr;PF00970;1.18.1.2;;Carbon metabolism;Carbohydrate metabolism;high;TRUE;Offshore       Coast  
fbp;PF01950;3.1.3.11;;Carbon metabolism;Carbohydrate metabolism;high;TRUE;Offshore       Coast  
glpA;TIGR03377;1.1.5.3;;Carbon metabolism;Carbohydrate metabolism;low;TRUE;Offshore       Coast  
glpB;TIGR03378;1.1.5.3;;Carbon metabolism;Carbohydrate metabolism;low;TRUE;Offshore       Coast  
glpQ;PF03009;3.1.4.46;;Carbon metabolism;Carbohydrate metabolism;low;TRUE;Offshore       Coast  
glpT;TIGR00712;7.6.2.10;;Carbon metabolism;Carbohydrate metabolism;low;TRUE;Offshore       Coast  
gh1;PF00232;3.2.1.21;;Carbon metabolism;Carbohydrate metabolism;medium;TRUE;Offshore       Coast  
glgC;TIGR02091;2.7.7.27;;Carbon metabolism;Carbohydrate metabolism;medium;TRUE;Offshore       Coast  
glpC;TIGR03379;NA;;Carbon metabolism;Carbohydrate metabolism;medium;TRUE;Offshore       Coast  
pgi;PF00342;5.3.1.9;;Carbon metabolism;Carbohydrate metabolism;medium;TRUE;Offshore       Coast  
pcaH;TIGR02422;1.13.11.3;;Carbon metabolism;Aromatics degradation ;low;TRUE;Offshore       Coast  
phaZ;TIGR01849;3.1.1.75;;Carbon metabolism;Energy metabolism;low;TRUE;Offshore       Coast  
nd;PF00420;7.1.1.2;;Carbon metabolism;Energy metabolism;medium;TRUE;Offshore       Coast  
ppc;PF00311;4.1.1.31;yes;Carbon metabolism;Methane metabolism;medium;TRUE;Offshore       Coast  
fae;TIGR03126;4.2.1.147;;Carbon metabolism;Methane metabolism;low;TRUE;Offshore       Coast  
ftf;TIGR03119;2.3.1.101;;Carbon metabolism;Methane metabolism;low;TRUE;Offshore       Coast  
ftr;PF01913;2.3.1.101;;Carbon metabolism;Methane metabolism;low;TRUE;Offshore       Coast  
mch;PF02289;3.5.4.27;;Carbon metabolism;Methane metabolism;low;TRUE;Offshore       Coast  
mtdB;PF09176;1.5.1.5;;Carbon metabolism;Methane metabolism;low;TRUE;Offshore       Coast  
icd;TIGR00183;1.1.1.42;yes;Carbon metabolism;TCA cycle;high;TRUE;Offshore       Coast  
sdhA;TIGR01811;1.3.5.1;yes;Carbon metabolism;TCA cycle;high;TRUE;Offshore       Coast  
sdhB;TIGR00384;1.3.5.1;yes;Carbon metabolism;TCA cycle;high;TRUE;Offshore       Coast  
fumC;PF10415 & PF00206;4.3.1.1;;Carbon metabolism;TCA cycle;medium;FALSE;Offshore       Coast  
idh;TIGR00175;1.1.1.41;;Carbon metabolism;TCA cycle;medium;TRUE;Offshore       Coast  
dnaA;TIGR00362;NA;yes;Cellular Processes;Cell cycle;medium;TRUE;Offshore       Coast  
kaiC;TIGR02655;2.7.11.1;;Cellular Processes;Cell cycle;low;FALSE;Offshore       Coast  
