sample,cruise,day,station,cruise_station
ENV1_D1_S3,ENV1,D1,S3,ENV1_S3
ENV1_D1_S6,ENV1,D1,S6,ENV1_S6
ENV1_D3_S3,ENV1,D3,S3,ENV1_S3
ENV1_D3_S6,ENV1,D3,S6,ENV1_S6
ENV1_D5_S3,ENV1,D5,S3,ENV1_S3
ENV1_D5_S3_reseq,ENV1,D5,S3,ENV1_S3
ENV1_D5_S6,ENV1,D5,S6,ENV1_S6
ENV1_D7_S3,ENV1,D7,S3,ENV1_S3
ENV1_D7_S6,ENV1,D7,S6,ENV1_S6
ENV2_D1_S3,ENV2,D1,S3,ENV2_S3
ENV2_D1_S6,ENV2,D1,S6,ENV2_S6
ENV2_D3_S3,ENV2,D3,S3,ENV2_S3
ENV2_D3_S6,ENV2,D3,S6,ENV2_S6
ENV2_D5_S3,ENV2,D5,S3,ENV2_S3
ENV2_D5_S6,ENV2,D5,S6,ENV2_S6
ENV2_D7_S3,ENV2,D7,S3,ENV2_S3
ENV2_D7_S6,ENV2,D7,S6,ENV2_S6
ENV3_D1_S3,ENV3,D1,S3,ENV3_S3
ENV3_D1_S6,ENV3,D1,S6,ENV3_S6
ENV3_D3_S3,ENV3,D3,S3,ENV3_S3
ENV3_D3_S6,ENV3,D3,S6,ENV3_S6
ENV3_D5_S3,ENV3,D5,S3,ENV3_S3
ENV3_D5_S3_reseq,ENV3,D5,S3,ENV3_S3
ENV3_D5_S6,ENV3,D5,S6,ENV3_S6
ENV3_D7_S3,ENV3,D7,S3,ENV3_S3
ENV3_D7_S6,ENV3,D7,S6,ENV3_S6
