cruise_station;cruise;station;time;gene_protein;category;subcategory;importance;Filter;tpm;Season;Station;Condition
ENV1_S6;ENV1;S6;1;xUNREAL;xUNREAL;xUNREAL;low;;0;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV1_S6;ENV1;S6;3;xUNREAL;xUNREAL;xUNREAL;low;;260;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV1_S6;ENV1;S6;5;xUNREAL;xUNREAL;xUNREAL;low;;520;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV1_S6;ENV1;S6;7;xUNREAL;xUNREAL;xUNREAL;low;;780;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV2_S6;ENV2;S6;1;xUNREAL;xUNREAL;xUNREAL;low;;1040;Spring;Offshore;2.Spring/Ocean Downwelling
ENV2_S6;ENV2;S6;3;xUNREAL;xUNREAL;xUNREAL;low;;1300;Spring;Offshore;2.Spring/Ocean Downwelling
ENV2_S6;ENV2;S6;5;xUNREAL;xUNREAL;xUNREAL;low;;1560;Spring;Offshore;2.Spring/Ocean Downwelling
ENV2_S6;ENV2;S6;7;xUNREAL;xUNREAL;xUNREAL;low;;1820;Spring;Offshore;2.Spring/Ocean Downwelling
ENV3_S6;ENV3;S6;1;xUNREAL;xUNREAL;xUNREAL;low;;2080;Summer;Offshore;3.Summer/Ocean Stratification
ENV3_S6;ENV3;S6;3;xUNREAL;xUNREAL;xUNREAL;low;;2340;Summer;Offshore;3.Summer/Ocean Stratification
ENV3_S6;ENV3;S6;5;xUNREAL;xUNREAL;xUNREAL;low;;2600;Summer;Offshore;3.Summer/Ocean Stratification
ENV3_S6;ENV3;S6;7;xUNREAL;xUNREAL;xUNREAL;low;;2860;Summer;Offshore;3.Summer/Ocean Stratification
ENV1_S3;ENV1;S3;1;xUNREAL;xUNREAL;xUNREAL;low;;3120;Winter;Coast;1.Winter/Coast Early Bloom 
ENV1_S3;ENV1;S3;3;xUNREAL;xUNREAL;xUNREAL;low;;3380;Winter;Coast;1.Winter/Coast Early Bloom 
ENV1_S3;ENV1;S3;5;xUNREAL;xUNREAL;xUNREAL;low;;3640;Winter;Coast;1.Winter/Coast Early Bloom 
ENV1_S3;ENV1;S3;7;xUNREAL;xUNREAL;xUNREAL;low;;3900;Winter;Coast;1.Winter/Coast Early Bloom 
ENV2_S3;ENV2;S3;1;xUNREAL;xUNREAL;xUNREAL;low;;4160;Spring;Coast;2.Spring/Coast Downwelling 
ENV2_S3;ENV2;S3;3;xUNREAL;xUNREAL;xUNREAL;low;;4420;Spring;Coast;2.Spring/Coast Downwelling 
ENV2_S3;ENV2;S3;5;xUNREAL;xUNREAL;xUNREAL;low;;4680;Spring;Coast;2.Spring/Coast Downwelling 
ENV2_S3;ENV2;S3;7;xUNREAL;xUNREAL;xUNREAL;low;;4940;Spring;Coast;2.Spring/Coast Downwelling 
ENV3_S3;ENV3;S3;1;xUNREAL;xUNREAL;xUNREAL;low;;5200;Summer;Coast;3.Summer/Coast Upwelling 
ENV3_S3;ENV3;S3;3;xUNREAL;xUNREAL;xUNREAL;low;;5460;Summer;Coast;3.Summer/Coast Upwelling 
ENV3_S3;ENV3;S3;5;xUNREAL;xUNREAL;xUNREAL;low;;5720;Summer;Coast;3.Summer/Coast Upwelling 
ENV3_S3;ENV3;S3;7;xUNREAL;xUNREAL;xUNREAL;low;;5980;Summer;Coast;3.Summer/Coast Upwelling 
