cruise_station;cruise;station;time;gene_protein;category;subcategory;importance;Filter;tpm;Season;Station;Condition
ENV1_S6;ENV1;S6;1;xUNREAL;xUNREAL;xUNREAL;low;;0;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV1_S6;ENV1;S6;3;xUNREAL;xUNREAL;xUNREAL;low;;1080;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV1_S6;ENV1;S6;5;xUNREAL;xUNREAL;xUNREAL;low;;2160;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV1_S6;ENV1;S6;7;xUNREAL;xUNREAL;xUNREAL;low;;3240;Winter;Offshore;1.Winter/Ocean Early Bloom 
ENV2_S6;ENV2;S6;1;xUNREAL;xUNREAL;xUNREAL;low;;4320;Spring;Offshore;2.Spring/Ocean Downwelling
ENV2_S6;ENV2;S6;3;xUNREAL;xUNREAL;xUNREAL;low;;5400;Spring;Offshore;2.Spring/Ocean Downwelling
ENV2_S6;ENV2;S6;5;xUNREAL;xUNREAL;xUNREAL;low;;6480;Spring;Offshore;2.Spring/Ocean Downwelling
ENV2_S6;ENV2;S6;7;xUNREAL;xUNREAL;xUNREAL;low;;7560;Spring;Offshore;2.Spring/Ocean Downwelling
ENV3_S6;ENV3;S6;1;xUNREAL;xUNREAL;xUNREAL;low;;8640;Summer;Offshore;3.Summer/Ocean Stratification
ENV3_S6;ENV3;S6;3;xUNREAL;xUNREAL;xUNREAL;low;;9720;Summer;Offshore;3.Summer/Ocean Stratification
ENV3_S6;ENV3;S6;5;xUNREAL;xUNREAL;xUNREAL;low;;10800;Summer;Offshore;3.Summer/Ocean Stratification
ENV3_S6;ENV3;S6;7;xUNREAL;xUNREAL;xUNREAL;low;;11880;Summer;Offshore;3.Summer/Ocean Stratification
ENV1_S3;ENV1;S3;1;xUNREAL;xUNREAL;xUNREAL;low;;12960;Winter;Coast;1.Winter/Coast Early Bloom 
ENV1_S3;ENV1;S3;3;xUNREAL;xUNREAL;xUNREAL;low;;14040;Winter;Coast;1.Winter/Coast Early Bloom 
ENV1_S3;ENV1;S3;5;xUNREAL;xUNREAL;xUNREAL;low;;15120;Winter;Coast;1.Winter/Coast Early Bloom 
ENV1_S3;ENV1;S3;7;xUNREAL;xUNREAL;xUNREAL;low;;16200;Winter;Coast;1.Winter/Coast Early Bloom 
ENV2_S3;ENV2;S3;1;xUNREAL;xUNREAL;xUNREAL;low;;17280;Spring;Coast;2.Spring/Coast Downwelling 
ENV2_S3;ENV2;S3;3;xUNREAL;xUNREAL;xUNREAL;low;;18360;Spring;Coast;2.Spring/Coast Downwelling 
ENV2_S3;ENV2;S3;5;xUNREAL;xUNREAL;xUNREAL;low;;19440;Spring;Coast;2.Spring/Coast Downwelling 
ENV2_S3;ENV2;S3;7;xUNREAL;xUNREAL;xUNREAL;low;;20520;Spring;Coast;2.Spring/Coast Downwelling 
ENV3_S3;ENV3;S3;1;xUNREAL;xUNREAL;xUNREAL;low;;21600;Summer;Coast;3.Summer/Coast Upwelling 
ENV3_S3;ENV3;S3;3;xUNREAL;xUNREAL;xUNREAL;low;;22680;Summer;Coast;3.Summer/Coast Upwelling 
ENV3_S3;ENV3;S3;5;xUNREAL;xUNREAL;xUNREAL;low;;23760;Summer;Coast;3.Summer/Coast Upwelling 
ENV3_S3;ENV3;S3;7;xUNREAL;xUNREAL;xUNREAL;low;;24840;Summer;Coast;3.Summer/Coast Upwelling 
