cruise_station,gene_protein,time,tpm,mean_tpm,category,subcategory,ratio_tpm,Season,Station,Condition
ENV1_S6,X,1,0,10,X,X,0.03,Winter,Offshore,1.Winter/Ocean Early Bloom 
ENV1_S6,X,3,1400,896,X,X,0.15,Winter,Offshore,1.Winter/Ocean Early Bloom 
ENV1_S6,X,5,2800,1792,X,X,0.3,Winter,Offshore,1.Winter/Ocean Early Bloom 
ENV1_S6,X,7,4200,2688,X,X,0.45,Winter,Offshore,1.Winter/Ocean Early Bloom 
ENV2_S6,X,1,5600,3584,X,X,0.6,Spring,Offshore,2.Spring/Ocean Downwelling
ENV2_S6,X,3,0,10,X,X,0.03,Spring,Offshore,2.Spring/Ocean Downwelling
ENV2_S6,X,5,1400,896,X,X,0.15,Spring,Offshore,2.Spring/Ocean Downwelling
ENV2_S6,X,7,2800,1792,X,X,0.3,Spring,Offshore,2.Spring/Ocean Downwelling
ENV3_S6,X,1,4200,2688,X,X,0.45,Summer,Offshore,3.Summer/Ocean Stratification
ENV3_S6,X,3,5600,3584,X,X,0.6,Summer,Offshore,3.Summer/Ocean Stratification
ENV3_S6,X,5,0,10,X,X,0.03,Summer,Offshore,3.Summer/Ocean Stratification
ENV3_S6,X,7,1400,896,X,X,0.15,Summer,Offshore,3.Summer/Ocean Stratification
ENV1_S3,X,1,2800,1792,X,X,0.3,Winter,Coast,1.Winter/Coast Early Bloom 
ENV1_S3,X,3,4200,2688,X,X,0.45,Winter,Coast,1.Winter/Coast Early Bloom 
ENV1_S3,X,5,5600,3584,X,X,0.6,Winter,Coast,1.Winter/Coast Early Bloom 
ENV1_S3,X,7,0,10,X,X,0.03,Winter,Coast,1.Winter/Coast Early Bloom 
ENV2_S3,X,1,1400,896,X,X,0.15,Spring,Coast,2.Spring/Coast Downwelling 
ENV2_S3,X,3,2800,1792,X,X,0.3,Spring,Coast,2.Spring/Coast Downwelling 
ENV2_S3,X,5,4200,2688,X,X,0.45,Spring,Coast,2.Spring/Coast Downwelling 
ENV2_S3,X,7,5600,3584,X,X,0.6,Spring,Coast,2.Spring/Coast Downwelling 
ENV3_S3,X,1,0,10,X,X,0.03,Summer,Coast,3.Summer/Coast Upwelling 
ENV3_S3,X,3,1400,896,X,X,0.15,Summer,Coast,3.Summer/Coast Upwelling 
ENV3_S3,X,5,2800,1792,X,X,0.3,Summer,Coast,3.Summer/Coast Upwelling 
ENV3_S3,X,7,4200,2688,X,X,0.45,Summer,Coast,3.Summer/Coast Upwelling 
